prices,address,no_beds,baths,sqft,prices_scale,sqft_scale,predict,diff,Deal
437900, 1637 A St NE APT 1 Washington DC 20002 ,2,2,916,4.379,0.916,198186.1115,-239713.8885,Bad Deal
310000, 4912 New Hampshire Ave NW #E-202 Washington DC 20011 ,2,1,1000,3.1,1,67146.15822,-242853.8418,Bad Deal
395000, 1654 K St NE #2 Washington DC 20002 ,2,2,862,3.95,0.862,148532.6767,-246467.3233,Bad Deal
399900, 412 19th St NE APT 102 Washington DC 20002 ,2,2,867,3.999,0.867,153130.1975,-246769.8025,Bad Deal
579000, 1354 Kenyon St NW APT G Washington DC 20010 ,2,2,1061,5.79,1.061,331514.74,-247485.26,Bad Deal
349900, 1 Scott Cir NW #601 Washington DC 20036 ,1,1,682,3.499,0.682,101173.0671,-248726.9329,Bad Deal
510000, 4296 Southern Ave SE Washington DC 20019 ,7,4,2304,5.1,2.304,258868.0744,-251131.9256,Bad Deal
420000, 2641 Bowen Rd SE UNIT B Washington DC 20020 ,4,2,1594,4.2,1.594,168751.5736,-251248.4264,Bad Deal
299800, 1371 Bryant St NE APT 2 Washington DC 20018 ,2,2,750,2.998,0.75,45547.77145,-254252.2285,Bad Deal
1699000, 1454 Belmont St NW APT 15 Washington DC 20009 ,2,3,2044,16.99,2.044,1443669.701,-255330.2994,Bad Deal
1429000, 1831 Vermont Ave NW Washington DC 20001 ,3,4,1878,14.29,1.878,1172879.601,-256120.3995,Bad Deal
499000, 2717 Ontario Rd NW #2 Washington DC 20009 ,3,2,1316,4.99,1.316,239558.8875,-259441.1125,Bad Deal
645000, 127 Longfellow St NW Washington DC 20011 ,4,2,1824,6.45,1.824,380238.4853,-264761.5147,Bad Deal
185000, 1625 Gainesville St SE APT 101 Washington DC 20020 ,2,1,839,1.85,0.839,-80894.66095,-265894.6609,Bad Deal
399900, 1011 18th St NE APT 2 Washington DC 20002 ,2,2,845,3.999,0.845,132901.0487,-266998.9513,Bad Deal
445000, 3934 10th St NE APT 1 Washington DC 20017 ,2,2,890,4.45,0.89,174278.8315,-270721.1685,Bad Deal
389000, 2801 Adams Mill Rd NW APT 210 Washington DC 20009 ,1,1,700,3.89,0.7,117724.1802,-271275.8198,Bad Deal
975000, 1322 E St NE Washington DC 20002 ,3,3,1594,9.75,1.594,703460.6457,-271539.3543,Bad Deal
380000, 2500 Q St NW APT 519 Washington DC 20007 ,1,1,688,3.8,0.688,106690.1684,-273309.8316,Bad Deal
350000, 713 Croissant Pl SE Washington DC 20019 ,3,1,1362,3.5,1.362,73577.64244,-276422.3576,Bad Deal
675000, 2247 12th St NW UNIT 1 Washington DC 20009 ,2,2,1130,6.75,1.13,394960.7372,-280039.2628,Bad Deal
435000, 5516 14th St NW #1 Washington DC 20011 ,2,2,867,4.35,0.867,153130.1975,-281869.8025,Bad Deal
899900, 916 15th St SE Washington DC 20003 ,3,3,1500,8.999,1.5,617026.9489,-282873.0511,Bad Deal
619990, 907 Columbia Rd NW Washington DC 20001 ,3,2,1422,6.1999,1.422,337026.7868,-282963.2132,Bad Deal
624999, 1910 W Virginia Ave NE #1 Washington DC 20002 ,3,3,1200,6.24999,1.2,341174.5548,-283824.4452,Bad Deal
659000, 301 G St NE APT 3 Washington DC 20002 ,2,2,1107,6.59,1.107,373812.1033,-285187.8967,Bad Deal
449900, 1725 17th St NW APT 316 Washington DC 20009 ,1,1,750,4.499,0.75,163699.5792,-286200.4208,Bad Deal
495000, 333 N St SW #333 Washington DC 20024 ,2,1,1154,4.95,1.154,208750.391,-286249.609,Bad Deal
939000, 121 R St NW Washington DC 20001 ,4,3,1893,9.39,1.893,651963.0909,-287036.9091,Bad Deal
129900, 4729 1st St SW APT 203 Washington DC 20032 ,2,1,756,1.299,0.756,-157213.7833,-287113.7833,Bad Deal
600000, 1514 17th St NW APT 207 Washington DC 20036 ,2,1,1265,6,1.265,310815.7635,-289184.2365,Bad Deal
289000, 2651 Birney Pl SE #SE-302 Washington DC 20020 ,3,2,1054,2.89,1.054,-1352.214813,-290352.2148,Bad Deal
579000, 2301 Champlain St NW APT T02 Washington DC 20009 ,2,2,1014,5.79,1.014,288297.9393,-290702.0607,Bad Deal
277000, 429 N St SW #609 Washington Navy Yard DC 20374 ,1,1,554,2.77,0.554,-16523.95725,-293523.9573,Bad Deal
689900, 5230 Georgia Ave NW #402 Washington DC 20011 ,3,3,1260,6.899,1.26,396344.9955,-293555.0045,Bad Deal
619900, 2812 Georgia Ave NW #8 Washington DC 20001 ,2,2,1054,6.199,1.054,325078.2013,-294821.7987,Bad Deal
419900, 722 Sheridan St NW Washington DC 20011 ,3,1,1418,4.199,1.418,125070.0474,-294829.9526,Bad Deal
635000, 1354 Euclid St NW #1356-302A Washington DC 20009 ,2,2,1070,6.35,1.07,339790.3442,-295209.6558,Bad Deal
619000, 1532 N Capitol St NW #101 Washington DC 20002 ,2,2,1050,6.19,1.05,321400.1656,-297599.8344,Bad Deal
1189000, 124 4th St NE Washington DC 20002 ,2,3,1443,11.89,1.443,891045.3796,-297954.6204,Bad Deal
514900, 1658 K St NE APT 4 Washington DC 20002 ,2,2,936,5.149,0.936,216576.2901,-298323.7099,Bad Deal
799850, 610 Elliott St NE Washington DC 20002 ,3,2,1596,7.9985,1.596,497021.0552,-302828.9448,Bad Deal
388000, 1306 Dexter Ter SE Washington DC 20020 ,2,1,1014,3.88,1.014,80019.33098,-307980.669,Bad Deal
495000, 1065 48th Pl NE Washington DC 20019 ,3,3,1030,4.95,1.03,184858.1791,-310141.8209,Bad Deal
699950, 1930 18th St NW APT 45 Washington DC 20009 ,2,2,1124,6.9995,1.124,389443.6836,-310506.3164,Bad Deal
679000, 3626 Georgia Ave NW #41 Washington DC 20010 ,2,2,1100,6.79,1.1,367375.5646,-311624.4354,Bad Deal
589000, 1526 17th St NW APT 306 Washington DC 20036 ,2,2,1000,5.89,1,275424.7665,-313575.2335,Bad Deal
499000, 2616 Garfield St NW APT 1 Washington DC 20008 ,2,2,900,4.99,0.9,183473.9685,-315526.0315,Bad Deal
424900, 1700 2nd St NW APT 3 Washington DC 20001 ,1,1,690,4.249,0.69,108529.1386,-316370.8614,Bad Deal
435000, 901 D St NE APT 7 Washington DC 20002 ,1,1,700,4.35,0.7,117724.1802,-317275.8198,Bad Deal
330000, 3060 16th St NW APT 606 Washington DC 20009 ,1,1,584,3.3,0.584,11061.23924,-318938.7608,Bad Deal
849900, 1504 6th St NW #1 Washington DC 20001 ,2,3,1050,8.499,1.05,529678.7739,-320221.2261,Bad Deal
495000, 2920 Georgia Ave NW UNIT 404 Washington DC 20001 ,1,1,759,4.95,0.759,171975.1835,-323024.8165,Bad Deal
769900, 59 G St SW Washington DC 20024 ,3,2,1538,7.699,1.538,443689.6801,-326210.3199,Bad Deal
799000, 1362 Emerald St NE Washington DC 20002 ,3,3,1342,7.99,1.342,471744.6804,-327255.3196,Bad Deal
155000, 3868 9th St SE APT 301 Washington DC 20032 ,2,1,739,1.55,0.739,-172845.4113,-327845.4113,Bad Deal
499900, 1420 N Capitol St NW #101 Washington DC 20002 ,2,2,886,4.999,0.886,170600.7957,-329299.2043,Bad Deal
779900, 1335 A St SE APT D Washington DC 20003 ,2,2,1185,7.799,1.185,445533.7048,-334366.2952,Bad Deal
375000, 1910 Kalorama Rd NW APT 2 Washington DC 20009 ,1,1,616,3.75,0.616,40485.52513,-334514.4749,Bad Deal
490000, 1658 K St NE #7 Washington DC 20002 ,2,2,862,4.9,0.862,148532.6767,-341467.3233,Bad Deal
575000, 2555 Pennsylvania Ave NW APT 516 Washington DC 20037 ,1,1,824,5.75,0.824,231743.1927,-343256.8073,Bad Deal
589900, 801 N St NW APT T02 Washington DC 20001 ,1,1,840,5.899,0.84,246455.3356,-343444.6644,Bad Deal
3395000, 1717 34th St NW Washington DC 20007 ,4,5,4048,33.95,4.048,3050060.081,-344939.9185,Bad Deal
422675, 50 Florida Ave NE APT 308 Washington DC 20002 ,1,1,654,4.22675,0.654,75426.81694,-347248.1831,Bad Deal
639900, 1150 K St NW APT 505 Washington DC 20005 ,2,2,1018,6.399,1.018,291975.8797,-347924.1203,Bad Deal
799000, 1624 Corcoran St NW UNIT J Washington DC 20009 ,2,2,1190,7.99,1.19,450131.3686,-348868.6314,Bad Deal
815000, 3 Washington Cir NW APT 705 Washington DC 20037 ,2,2,1205,8.15,1.205,463923.9788,-351076.0212,Bad Deal
899900, 1222 Half St SW Washington DC 20024 ,4,3,1780,8.999,1.78,548058.5575,-351841.4425,Bad Deal
534900, 460 New York Ave NW UNIT 503 Washington DC 20001 ,1,1,770,5.349,0.77,182089.7579,-352810.2421,Bad Deal
695000, 611 Rhode Island Ave NW Washington DC 20001 ,2,2,1072,6.95,1.072,341629.4098,-353370.5902,Bad Deal
168000, 4130 4th St SE APT 4 Washington DC 20032 ,2,1,719,1.68,0.719,-191235.59,-359235.59,Bad Deal
525000, 2732 Ordway St NW APT 5 Washington DC 20008 ,2,1,1107,5.25,1.107,165533.4949,-359466.5051,Bad Deal
1699000, 1454 Belmont St NW #15 Washington DC 20009 ,2,2.5,2044,16.99,2.044,1339530.373,-359469.6274,Bad Deal
449900, 824 Burns St SE Washington DC 20019 ,3,2,1152,4.499,1.152,88759.51767,-361140.4823,Bad Deal
359000, 414 Seward Sq SE APT 202 Washington DC 20003 ,1,1,568,3.59,0.568,-3650.808334,-362650.8083,Bad Deal
599900, 50 Florida Ave NE APT 319 Washington DC 20002 ,2,2,958,5.999,0.958,236805.439,-363094.561,Bad Deal
385000, 5622 13th St NW #3 Washington DC 20011 ,2,2,723,3.85,0.723,20721.05408,-364278.9459,Bad Deal
649900, 1603 16th St NW APT 1 Washington DC 20009 ,2,2,1000,6.499,1,275424.7665,-374475.2335,Bad Deal
179000, 717 Brandywine St SE APT 301 Washington DC 20032 ,2,1,703,1.79,0.703,-205947.6852,-384947.6852,Bad Deal
1299900, 1745 N St NW #410 Washington DC 20036 ,2,3,1466,12.999,1.466,912194.0613,-387705.9387,Bad Deal
349000, 1355 Bryant St NE APT 1 Washington DC 20018 ,2,2,658,3.49,0.658,-39046.95511,-388046.9551,Bad Deal
369909, 909 E St SE #3 Washington DC 20003 ,1,1,550,3.69909,0.55,-20201.99299,-390110.993,Bad Deal
1795000, 1540 T St NW Washington DC 20009 ,5,4,2839,17.95,2.839,1403665.733,-391334.2667,Bad Deal
609000, 1747 Willard St NW APT 1 Washington DC 20009 ,2,2,937,6.09,0.937,217495.7275,-391504.2725,Bad Deal
329000, 1731 20th St NW APT 2 Washington DC 20009 ,1,1,500,3.29,0.5,-66177.39201,-395177.392,Bad Deal
869000, 2301 Champlain St NW APT 411 Washington DC 20009 ,2,2,1214,8.69,1.214,472199.3923,-396800.6077,Bad Deal
839000, 2409 37th St NW #2 Washington DC 20007 ,2,2,1177,8.39,1.177,438177.6333,-400822.3667,Bad Deal
450000, 2114 N St NW APT 37 Washington DC 20037 ,1,1,625,4.5,0.625,48761.12938,-401238.8706,Bad Deal
634900, 2150 Florida Ave NW #1 Washington DC 20008 ,2,2,953,6.349,0.953,232207.8705,-402692.1295,Bad Deal
520000, 1422 Euclid St NW APT 1 Washington DC 20009 ,2,2,824,5.2,0.824,113591.3849,-406408.6151,Bad Deal
573900, 910 M St NW APT 323 Washington DC 20001 ,2,2,878,5.739,0.878,163244.8196,-410655.1804,Bad Deal
1025000, 1610 Belmont St NW APT D Washington DC 20009 ,3,3,1494,10.25,1.494,611509.8476,-413490.1524,Bad Deal
699000, 254 15th St SE UNIT 5 Washington DC 20003 ,2,2,1007,6.99,1.007,281861.3052,-417138.6948,Bad Deal
535000, 311 6th St SE APT 1-315 Washington DC 20003 ,2,2,823,5.35,0.823,112671.8521,-422328.1479,Bad Deal
224900, 1014 50th St NE Washington DC 20019 ,2,1,712,2.249,0.712,-197672.1287,-422572.1287,Bad Deal
675000, 777 7th St NW APT 314 Washington DC 20001 ,2,2,974,6.75,0.974,251517.5819,-423482.4181,Bad Deal
427999, 3463 25th St SE Washington DC 20020 ,4,2,1414,4.27999,1.414,3240.251541,-424758.7485,Bad Deal
775000, 1010 Massachusetts Ave NW PENTHOUSE 106 Washington DC 20001 ,2,2,1074,7.75,1.074,343468.38,-431531.62,Bad Deal
500000, 2220 20th St NW APT 55 Washington DC 20009 ,2,1,1000,5,1,67146.15822,-432853.8418,Bad Deal
350000, 1321 Fairmont St NW APT 1 Washington DC 20009 ,2,1,835,3.5,0.835,-84572.69669,-434572.6967,Bad Deal
185000, 3956 Pennsylvania Ave SE APT 303 Washington DC 20020 ,2,1,655,1.85,0.655,-250084.1141,-435084.1141,Bad Deal
674900, 1112 5th St #1-W Washington DC 20001 ,2,2,952,6.749,0.952,231288.4331,-443611.5669,Bad Deal
575000, 1458 Fairmont St NW APT 2 Washington DC 20009 ,2,1,1069,5.75,1.069,130592.2031,-444407.7969,Bad Deal
649000, 1801 16th St NW APT 301 Washington DC 20009 ,1,1,790,6.49,0.79,200479.9366,-448520.0634,Bad Deal
699900, 2750 14th St NW APT 501 Washington DC 20009 ,3,2,1328,6.999,1.328,250592.8993,-449307.1007,Bad Deal
729900, 300 8th St NE #206 Washington DC 20002 ,2,2,998,7.299,0.998,273585.7964,-456314.2036,Bad Deal
350000, 223 Florida Ave NW APT 3 Washington DC 20001 ,1,1,454,3.5,0.454,-108474.7553,-458474.7553,Bad Deal
749000, 3210 Grace St NW APT 205 Washington DC 20007 ,2,2,1016,7.49,1.016,290136.9095,-458863.0905,Bad Deal
669900, 448 M St NW UNIT 1 Washington DC 20001 ,2,2,925,6.699,0.925,206461.7157,-463438.2843,Bad Deal
749900, 810 O St NW APT 209 Washington DC 20001 ,2,2,1009,7.499,1.009,283700.2754,-466199.7246,Bad Deal
410000, 2023 Hillyer Pl NW #2 Washington DC 20009 ,1,1,510,4.1,0.51,-56982.30267,-466982.3027,Bad Deal
1199900, 1222 11th St NW #4 Washington DC 20001 ,3,3,1620,11.999,1.62,727367.9256,-472532.0744,Bad Deal
388000, 1718 Corcoran St NW APT 32 Washington DC 20009 ,1,1,477,3.88,0.477,-87326.07365,-475326.0736,Bad Deal
799900, 1747 T St NW #5 Washington DC 20009 ,2,2,1050,7.999,1.05,321400.1656,-478499.8344,Bad Deal
4999000, 1511 30th St NW Washington DC 20007 ,6,5,6352,49.99,6.352,4515745.926,-483254.0741,Bad Deal
262000, 601 A St NE APT 1 Washington DC 20002 ,1,1,331,2.62,0.331,-221574.235,-483574.235,Bad Deal
399000, 2925 Stanton Rd SE Washington DC 20020 ,3,1,1190,3.99,1.19,-84577.70348,-483577.7035,Bad Deal
749000, 2750 14th St NW APT 601 Washington DC 20009 ,3,2,1338,7.49,1.338,259788.1317,-489211.8683,Bad Deal
469900, 2100 19th St NW APT 805 Washington DC 20009 ,2,1,900,4.699,0.9,-24804.63982,-494704.6398,Bad Deal
524900, 635 Emerson St NE Washington DC 20017 ,3,2,1088,5.249,1.088,29911.13663,-494988.8634,Bad Deal
539900, 606 Sheridan St NW Washington DC 20011 ,4,2,1454,5.399,1.454,40020.51353,-499879.4865,Bad Deal
469000, 2008 16th St NW APT 102 Washington DC 20009 ,2,2,661,4.69,0.661,-36288.40446,-505288.4045,Bad Deal
725000, 811 4th St NW UNIT 1218 Washington DC 20001 ,2,2,936,7.25,0.936,216576.2901,-508423.7099,Bad Deal
389000, 3342 Ely Pl SE Washington DC 20019 ,4,1,1506,3.89,1.506,-120443.6779,-509443.6779,Bad Deal
519900, 459 Florida Ave NW #3 Washington DC 20001 ,2,2,710,5.199,0.71,8767.414093,-511132.5859,Bad Deal
238500, 3331 Ely Pl SE Washington DC 20019 ,3,1,984,2.385,0.984,-273996.4008,-512496.4008,Bad Deal
273733, 3205 Georgia Ave NW UNIT 307 Washington DC 20010 ,2,1,667,2.73733,0.667,-239050.0069,-512783.0069,Bad Deal
1479000, 4323 Cathedral Ave NW Washington DC 20016 ,3,2,2105,14.79,2.105,965050.6973,-513949.3027,Bad Deal
449900, 623 Mellon St SE Washington DC 20032 ,7,4,1952,4.499,1.952,-64798.68889,-514698.6889,Bad Deal
959000, 1400 Church St NW APT 204 Washington DC 20005 ,2,2,1172,9.59,1.172,433580.1601,-525419.8399,Bad Deal
875000, 834 New Hampshire Ave NW Washington DC 20037 ,2,2,1080,8.75,1.08,348985.4813,-526014.5187,Bad Deal
365000, 822 Kennedy St NW #2 Washington DC 20011 ,2,1,750,3.65,0.75,-162730.8369,-527730.8369,Bad Deal
949990, 1735 New Hampshire Ave NW APT 201 Washington DC 20009 ,2,2,1150,9.4999,1.15,413351.0113,-536638.9887,Bad Deal
718000, 1515 16th St NW APT 1C Washington DC 20036 ,2,2,890,7.18,0.89,174278.8315,-543721.1685,Bad Deal
725000, 1900 Kalorama Pl NW UNIT 55 Washington DC 20009 ,2,2,890,7.25,0.89,174278.8315,-550721.1685,Bad Deal
649900, 2818 Connecticut Ave NW APT 201 Washington DC 20008 ,2,2,805,6.499,0.805,96120.73898,-553779.261,Bad Deal
2290000, 2817 Dumbarton St NW Washington DC 20007 ,4,5,2612,22.9,2.612,1729646.492,-560353.508,Bad Deal
750000, 1831 California St NW APT 20 Washington DC 20009 ,2,1,1128,7.5,1.128,184843.2064,-565156.7936,Bad Deal
399900, 1838 4th St NW APT 1B Washington DC 20001 ,2,1,739,3.999,0.739,-172845.4113,-572745.4113,Bad Deal
429900, 1343 Dexter Ter SE Washington DC 20020 ,3,2,900,4.299,0.9,-142956.4476,-572856.4476,Bad Deal
599900, 2007 Wyoming Ave NW UNIT 17 Washington DC 20009 ,1,1,600,5.999,0.6,25773.38219,-574126.6178,Bad Deal
419950, 4600 Brooks St NE Washington DC 20019 ,2,1,757,4.1995,0.757,-156294.2505,-576244.2505,Bad Deal
749900, 1550 11th St NW APT 407 Washington DC 20001 ,2,2,886,7.499,0.886,170600.7957,-579299.2043,Bad Deal
6830000, 4615 Dexter St NW Washington DC 20007 ,5,8,7200,68.3,7.2,6246754.456,-583245.5444,Bad Deal
1099900, 57 N St NW #525 Washington DC 20001 ,3,3,1380,10.999,1.38,506685.9722,-593214.0278,Bad Deal
995000, 2205 California St NW APT 104 Washington DC 20008 ,3,2,1473,9.95,1.473,383921.6232,-611078.3768,Bad Deal
449000, 1855 Calvert St NW APT 201 Washington DC 20009 ,2,1,749,4.49,0.749,-163650.322,-612650.322,Bad Deal
925000, 1778 Willard St NW #1 Washington DC 20009 ,3,3,1165,9.25,1.165,308991.766,-616008.234,Bad Deal
449000, 2039 New Hampshire Ave NW #410 Washington DC 20009 ,2,1,735,4.49,0.735,-176523.447,-625523.447,Bad Deal
425000, 711 49th Pl NE Washington DC 20019 ,4,2,1182,4.25,1.182,-210085.6304,-635085.6304,Bad Deal
875000, 1341 Q St NW #A Washington DC 20009 ,2,2,953,8.75,0.953,232207.8705,-642792.1295,Bad Deal
419900, 5105 Just St NE Washington DC 20019 ,3,2,810,4.199,0.81,-225712.1563,-645612.1563,Bad Deal
699900, 1045 Paper Mill Ct NW #1045 Washington DC 20007 ,2,1,950,6.999,0.95,21170.7592,-678729.2408,Bad Deal
220000, 3960 Pennsylvania Ave SE #3960-208 Washington DC 20020 ,3,1,765,2.2,0.765,-475368.6428,-695368.6428,Bad Deal
1049000, 4232 6th St SE Washington DC 20032 ,10,5,3236,10.49,3.236,344836.9503,-704163.0497,Bad Deal
749900, 1638 16th St SE Washington DC 20020 ,2,2,750,7.499,0.75,45547.77145,-704352.2285,Bad Deal
915000, 2625 O St NW Washington DC 20007 ,2,1,1155,9.15,1.155,209669.8284,-705330.1716,Bad Deal
555000, 1451 Park Rd NW APT 102 Washington DC 20010 ,3,2,889,5.55,0.889,-153071.022,-708071.022,Bad Deal
1197500, 2014 Kalorama Rd NW APT 8 Washington DC 20009 ,3,3,1335,11.975,1.335,465308.1417,-732191.8583,Bad Deal
2799999, 3329 Prospect St NW UNIT 1 Washington DC 20007 ,2,3,2700,27.99999,2.7,2046866.989,-753132.0109,Bad Deal
259000, 742 Brandywine St SE APT 103 Washington DC 20032 ,5,2,1204,2.59,1.204,-516286.993,-775286.993,Bad Deal
449900, 1943 Capitol Ave NE Washington DC 20002 ,3,1,918,4.499,0.918,-334683.9428,-784583.9428,Bad Deal
525000, 1814 28th St SE Washington DC 20020 ,5,2,1479,5.25,1.479,-263422.3461,-788422.3461,Bad Deal
550000, 38 53rd St SE Washington DC 20019 ,5,2,1479,5.5,1.479,-263422.3461,-813422.3461,Bad Deal
1995000, 3017 P St NW Washington DC 20007 ,2,3,1756,19.95,1.756,1178851.509,-816148.4909,Bad Deal
510000, 1632 U St SE Washington DC 20020 ,4,1,1282,5.1,1.282,-326413.5838,-836413.5838,Bad Deal
3500000, 3030 Q St NW Washington DC 20007 ,5,6,3753,35,3.753,2660653.496,-839346.5042,Bad Deal
1155000, 2706 Dumbarton St NW Washington DC 20007 ,3,2,1316,11.55,1.316,239558.8875,-915441.1125,Bad Deal
1619000, 3015 Orchard Ln NW Washington DC 20007 ,3,3,1585,16.19,1.585,695185.1368,-923814.8632,Bad Deal
885000, 5180 Fulton St NW Washington DC 20016 ,3,2,992,8.85,0.992,-58361.72104,-943361.721,Bad Deal
889000, 1431 W St NW Washington DC 20009 ,4,2,1347,8.89,1.347,-58366.8232,-947366.8232,Bad Deal
750000, 431 Kenyon St NW #1 Washington DC 20010 ,3,2,810,7.5,0.81,-225712.1563,-975712.1563,Bad Deal
1695000, 1312 33rd St NW Washington DC 20007 ,3,3,1611,16.95,1.611,719092.3214,-975907.6786,Bad Deal
1850000, 3300 Q St NW Washington DC 20007 ,3,3,1772,18.5,1.772,867132.9498,-982867.0502,Bad Deal
440000, 2009 Savannah Pl SE Washington DC 20020 ,5,2,1160,4.4,1.16,-556745.3861,-996745.3861,Bad Deal
3895000, 318 A St NE Washington DC 20002 ,6,5,4500,38.95,4.5,2812817.192,-1082182.808,Bad Deal
1860000, 3069 Canal St NW Washington DC 20007 ,3,3,1622,18.6,1.622,729206.8958,-1130793.104,Bad Deal
5550000, 2446 Kalorama Rd NW Washington DC 20008 ,6,6,5714,55.5,5.714,4137377.93,-1412622.07,Bad Deal
6995000, 2915 O St NW Washington DC 20007 ,7,8,6482,69.95,6.482,4933686.829,-2061313.171,Bad Deal
7495000, 4840 Dexter St NW Washington DC 20007 ,6,6,7067,74.95,7.067,5381472.015,-2113527.985,Bad Deal
12950000, 3131 Chain Bridge Rd NW Washington DC 20016 ,6,9,12200,129.5,12.2,10726142.12,-2223857.88,Bad Deal
4950000, 2816 O St NW Washington DC 20007 ,4,5,3525,49.5,3.525,2569157.6,-2380842.4,Bad Deal
8900000, 1823 Phelps Pl NW Washington DC 20008 ,6,8,7500,89,7.5,6196176.147,-2703823.853,Bad Deal
6450000, 1691 34th St NW Washington DC 20007 ,5,4,5331,64.5,5.331,3695079.422,-2754920.578,Bad Deal
12000000, 3036 Woodland Dr NW Washington DC 20008 ,8,11,10823,120,10.823,9223676.3,-2776323.7,Bad Deal
13750000, 3301 Fessenden St NW Washington DC 20008 ,11,17,12343,137.5,12.343,10891709.14,-2858290.863,Bad Deal
12950000, 3120 Woodland Dr NW Washington DC 20008 ,7,9,11486,129.5,11.486,9743183.136,-3206816.864,Bad Deal
16999900, 2507 Foxhall Rd NW Washington DC 20007 ,8,14,13687,169.999,13.687,12481983.18,-4517916.815,Bad Deal
12800000, 1224 30th St NW Washington DC 20007 ,10,8,11000,128,11,8108731.842,-4691268.158,Bad Deal
12975000, 2715 N St NW Washington DC 20007 ,7,8,5373,129.75,5.373,3913952.637,-9061047.363,Bad Deal
10995000, 2860 Woodland Dr NW Washington DC 20008 ,3,2,1275,109.95,1.275,201858.9973,-10793141,Bad Deal
18000000, 3150 S St NW #PH2C & 1M Washington DC 20007 ,4,7,6407,180,6.407,5635736.465,-12364263.53,Bad Deal
